# Su özellikleri - NIST Webbook (atmosfer basıncı, 101.325 kPa)
# Kaynak: Incropera "Fundamentals of Heat and Mass Transfer" Table A.6
# T_C: Sıcaklık [°C]
# rho: Yoğunluk [kg/m³]
# mu: Dinamik viskozite [mPa·s]  (= cP)
# nu: Kinematik viskozite [mm²/s] (= cSt)
# cp: Özgül ısı [J/(kg·K)]
# k: Isıl iletkenlik [W/(m·K)]
# Pr: Prandtl sayısı [-]
T_C,rho,mu,nu,cp,k,Pr
0,999.8,1.7921,1.7924,4217,0.5610,13.44
5,999.9,1.5188,1.5189,4202,0.5710,11.16
10,999.7,1.3077,1.3081,4192,0.5800,9.45
15,999.1,1.1382,1.1392,4186,0.5890,8.09
20,998.2,1.0020,1.0038,4182,0.5980,7.01
25,997.0,0.8910,0.8937,4180,0.6070,6.14
30,995.7,0.7975,0.8009,4178,0.6150,5.42
35,994.0,0.7194,0.7237,4178,0.6230,4.83
40,992.2,0.6533,0.6585,4179,0.6310,4.32
45,990.2,0.5963,0.6022,4180,0.6370,3.91
50,988.1,0.5471,0.5537,4181,0.6440,3.55
55,985.7,0.5040,0.5113,4183,0.6490,3.25
60,983.2,0.4665,0.4745,4185,0.6540,2.99
65,980.4,0.4335,0.4422,4187,0.6590,2.75
70,977.5,0.4042,0.4135,4190,0.6630,2.55
75,974.8,0.3781,0.3879,4193,0.6670,2.38
80,971.8,0.3550,0.3653,4197,0.6700,2.22
85,968.6,0.3342,0.3451,4201,0.6730,2.09
90,965.3,0.3150,0.3263,4205,0.6750,1.96
95,961.9,0.2974,0.3092,4209,0.6780,1.84
100,958.4,0.2818,0.2940,4216,0.6800,1.75
105,954.7,0.2670,0.2797,4224,0.6820,1.65
110,950.9,0.2535,0.2666,4232,0.6840,1.57
115,946.9,0.2410,0.2545,4240,0.6850,1.49
120,942.8,0.2294,0.2433,4250,0.6870,1.42
125,938.5,0.2187,0.2330,4260,0.6880,1.35
130,934.1,0.2085,0.2232,4270,0.6890,1.29
135,929.5,0.1991,0.2142,4281,0.6900,1.23
140,924.9,0.1905,0.2060,4293,0.6900,1.18
145,920.0,0.1824,0.1983,4305,0.6900,1.14
150,915.1,0.1748,0.1910,4319,0.6900,1.09
